지역,연도,5대범죄합계,실업률,음주율,물가상승률,인구수,평균기온,경찰1인당주민수,기초수급자수,조이혼율,지역소득,외국인수,외국인비율(%)
광주,2014,16364,2.8,60.6,1.6,1475884,14.3,476.7,59598,2.1,23448,17064,1.1562
광주,2015,14095,2.9,61.9,0.3,1472199,14.6,458.6,71683,1.9,24731,18455,1.2536
광주,2016,11073,3.1,58.6,0.9,1469214,15.0,454.6,69420,1.9,26248,19920,1.3558
광주,2017,9916,2.9,61.6,2.1,1463770,14.6,447.5,65712,1.8,27449,21279,1.4537
광주,2018,10070,3.8,60.3,1.2,1459336,14.6,439.6,72757,2.0,28594,22815,1.5634
광주,2019,10352,3.7,61.1,0.2,1456468,14.7,423.8,76193,2.0,29807,23825,1.6358
광주,2020,9380,3.9,52.9,0.4,1450062,14.5,419.0,84762,1.8,30823,21323,1.4705
광주,2021,8642,3.6,54.5,2.6,1441611,15.1,404.0,91548,1.8,32098,20934,1.4521
광주,2022,8797,2.9,58.6,5.1,1431050,14.8,401.0,94137,1.6,33497,22967,1.6049
광주,2023,9711,2.5,59.5,3.7,1419237,15.3,398.9,96473,1.7,35143,25348,1.786
광주,2024,9664,3.0,59.5,2.5,1408422,16.0,392.3,100201,1.6,37675,26557,1.8856
대구,2014,20188,3.8,62.0,1.4,2493264,14.5,479.9,93539,1.9,21114,25203,1.0108
대구,2015,19655,3.5,61.3,0.7,2487829,14.8,462.7,113152,1.8,22685,26141,1.0508
대구,2016,16893,4.1,60.6,1.0,2484557,14.6,458.4,107763,1.8,23382,26493,1.0663
대구,2017,15449,4.0,60.9,2.0,2475231,14.4,451.8,103132,1.8,24170,26442,1.0683
대구,2018,15289,4.4,61.5,1.7,2461769,14.1,445.1,110495,1.8,24820,28033,1.1387
대구,2019,16351,3.7,58.6,0.7,2438031,14.8,423.9,117594,1.9,25653,30191,1.2383
대구,2020,14996,3.9,51.1,0.3,2418346,14.5,418.0,131374,1.8,25928,27798,1.1495
대구,2021,14921,3.7,53.7,2.6,2385412,14.6,404.7,144092,1.7,27770,27230,1.1415
대구,2022,15683,2.9,56.7,5.2,2363691,14.7,399.3,148146,1.6,29654,29568,1.2509
대구,2023,15638,3.1,57.9,3.5,2374960,15.1,401.5,154802,1.7,30664,33305,1.4023
대구,2024,15206,3.4,57.1,2.2,2363629,15.8,396.1,161699,1.6,31374,36710,1.5531
대전,2014,14172,3.4,59.6,0.9,1531809,13.4,574.4,43469,2.1,23047,15658,1.0222
대전,2015,13802,3.4,60.7,0.2,1518775,14.0,524.6,53930,2.0,24568,16416,1.0809
대전,2016,12324,3.2,61.5,0.7,1514370,14.0,512.3,54490,1.9,26265,17035,1.1249
대전,2017,11697,3.4,61.9,1.7,1502227,13.4,495.6,52357,1.9,27281,17431,1.1603
대전,2018,11483,4.2,60.5,1.6,1489936,13.5,484.5,56324,2.0,28027,18184,1.2205
대전,2019,10783,4.2,58.7,0.2,1474870,14.0,457.7,59317,2.1,29870,19109,1.2956
대전,2020,10121,4.4,56.5,0.4,1463882,13.7,450.4,66775,2.1,31276,16895,1.1541
대전,2021,9016,3.3,52.2,2.5,1452251,14.3,430.9,72908,1.9,32928,17292,1.1907
대전,2022,10423,2.4,57.2,4.9,1446072,13.5,429.1,75140,1.7,34409,20594,1.4241
대전,2023,10358,2.8,59.4,3.5,1442216,14.0,438.8,77554,1.7,36174,23384,1.6214
대전,2024,10168,3.0,59.5,2.4,1439157,14.9,433.1,80729,1.7,38220,26249,1.8239
부산,2014,30270,3.8,64.1,1.3,3519401,15.1,418.3,126962,2.1,23991,38315,1.0887
부산,2015,29552,4.1,64.3,0.8,3513777,15.4,404.8,152389,1.9,25707,39991,1.1381
부산,2016,27006,3.9,64.0,1.2,3498529,15.7,399.3,149528,2.0,26800,41840,1.1959
부산,2017,26438,4.6,63.7,1.8,3470653,15.2,396.3,145113,1.9,27210,42837,1.2343
부산,2018,25217,4.1,64.0,1.7,3441453,15.1,390.4,159031,2.0,28355,45738,1.329
부산,2019,25812,3.7,61.9,0.5,3413841,15.7,376.9,172439,2.0,29436,45999,1.3474
부산,2020,24529,4.2,56.0,0.2,3391946,15.2,368.6,196299,1.9,29272,40366,1.1901
부산,2021,20765,3.4,54.3,2.5,3350380,15.7,360.0,217335,1.9,31950,39420,1.1766
부산,2022,22592,3.0,59.2,4.8,3317812,15.4,350.1,227066,1.7,34465,42863,1.2919
부산,2023,23610,3.1,59.6,3.7,3293362,16.0,347.0,234657,1.7,35431,49090,1.4906
부산,2024,23542,3.0,61.4,2.5,3266598,16.5,345.4,243110,1.6,37085,55805,1.7084
울산,2014,9602,2.7,63.3,1.2,1166377,14.7,524.9,15363,2.4,63793,25885,2.2193
울산,2015,9835,2.9,63.8,0.5,1173534,15.0,501.3,21375,2.1,65408,26183,2.2311
울산,2016,8405,3.8,63.7,1.0,1172304,14.8,489.3,18776,2.2,65031,23457,2.0009
울산,2017,7568,3.5,63.2,1.9,1165132,14.5,480.5,18821,2.2,66786,20513,1.7606
울산,2018,7249,4.6,62.6,1.0,1155623,14.3,470.1,22939,2.3,65897,20002,1.7308
울산,2019,6445,4.2,63.5,-0.3,1148019,14.9,464.0,26594,2.2,65486,20450,1.7813
울산,2020,5987,4.2,57.4,0.3,1136017,14.6,425.8,33232,2.2,59529,17884,1.5743
울산,2021,5794,3.6,56.5,2.5,1121592,14.9,403.7,38575,2.2,70889,16827,1.5003
울산,2022,5987,3.2,62.0,5.0,1110663,14.7,399.7,41510,1.9,76234,18379,1.6548
울산,2023,5786,3.4,61.0,3.6,1103661,15.0,394.3,43817,1.9,80821,23620,2.1401
울산,2024,5644,3.7,62.4,2.3,1098049,15.6,386.4,46345,1.8,85194,27642,2.5174
인천,2014,18472,4.7,62.7,1.4,2902608,12.1,529.0,72113,2.6,26559,55323,1.906
인천,2015,20877,5.0,62.1,1.0,2925815,12.3,513.5,97334,2.5,28376,57669,1.971
인천,2016,22242,4.9,62.7,0.9,2943069,12.4,512.1,100301,2.4,29864,59103,2.0082
인천,2017,21238,4.6,64.0,1.9,2948542,11.9,488.6,98789,2.4,31198,62596,2.1229
인천,2018,21606,4.3,63.8,1.6,2954642,11.6,480.2,110257,2.4,31688,67869,2.297
인천,2019,22753,4.4,60.7,0.3,2957026,12.5,458.7,122027,2.5,32272,72259,2.4436
인천,2020,19846,4.6,55.3,0.8,2942828,12.3,449.2,142628,2.4,32292,67648,2.2987
인천,2021,16431,4.0,55.2,2.6,2948375,12.7,441.8,159186,2.3,35388,66364,2.2509
인천,2022,17319,3.3,58.1,5.2,2967314,11.9,442.0,166083,2.1,38065,71849,2.4213
인천,2023,17356,3.2,59.5,3.7,2997410,12.7,444.8,174116,2.1,39104,81016,2.7029
인천,2024,17006,3.3,59.9,2.6,3021010,13.4,445.2,184260,2.0,41187,89129,2.9503
