연도,범죄율,실업률,음주율,물가상승률,평균기온,경찰1인당주민수,기초수급비율(%),조이혼율,지역소득,외국인비율(%),지역_대구,지역_대전,지역_부산,지역_울산,지역_인천
2014,1108.76,-1.369069,0.216556,-0.18552,-0.056153,0.780781,-0.369733,0.492649,-0.831983,-0.913365,0,0,0,0,0
2015,957.41,-1.206261,0.62492,-1.105612,0.215025,0.403345,0.199085,-0.310187,-0.750253,-0.704951,0,0,0,0,0
2016,753.67,-0.880644,-0.411695,-0.680954,0.576595,0.319933,0.100449,-0.310187,-0.653616,-0.486266,0,0,0,0,0
2017,677.43,-1.206261,0.530682,0.168362,0.215025,0.171878,-0.060956,-0.711605,-0.577109,-0.276783,0,0,0,0,0
2018,690.04,0.259013,0.122319,-0.468625,0.215025,0.007141,0.27883,0.091231,-0.504169,-0.04205,0,0,0,0,0
2019,710.76,0.096205,0.373619,-1.176388,0.305417,-0.322334,0.447079,0.091231,-0.426898,0.11287,0,0,0,0,0
2020,646.87,0.421821,-2.202212,-1.034835,0.124632,-0.422428,0.867361,-0.711605,-0.362176,-0.240835,0,0,0,0,0
2021,599.47,-0.066603,-1.699611,0.522243,0.666988,-0.735221,1.213033,-0.711605,-0.280955,-0.280206,0,0,0,0,0
2022,614.72,-1.206261,-0.411695,2.291651,0.39581,-0.797779,1.368962,-1.514441,-0.191835,0.046751,0,0,0,0,0
2023,684.24,-1.857493,-0.128982,1.300783,0.847773,-0.84157,1.519073,-1.113023,-0.08698,0.434263,0,0,0,0,0
2024,686.16,-1.043453,-0.128982,0.451467,1.480521,-0.979199,1.73599,-1.514441,0.074315,0.647385,0,0,0,0,0
2014,809.7,0.259013,0.656332,-0.327072,0.124632,0.84751,-0.565773,-0.310187,-0.980665,-1.224488,1,0,0,0,0
2015,790.05,-0.229412,0.436444,-0.822507,0.39581,0.488841,-0.02057,-0.711605,-0.880588,-1.138897,1,0,0,0,0
2016,679.92,0.747438,0.216556,-0.610178,0.215025,0.399174,-0.164931,-0.711605,-0.836188,-1.10573,1,0,0,0,0
2017,624.14,0.584629,0.310794,0.097586,0.03424,0.261545,-0.281775,-0.711605,-0.78599,-1.101451,1,0,0,0,0
2018,621.06,1.235862,0.49927,-0.114743,-0.236938,0.121831,-0.061503,-0.711605,-0.744583,-0.950811,1,0,0,0,0
2019,670.66,0.096205,-0.411695,-0.822507,0.39581,-0.320249,0.167735,-0.310187,-0.691519,-0.73769,1,0,0,0,0
2020,620.09,0.421821,-2.767638,-1.105612,0.124632,-0.443281,0.584664,-0.711605,-0.674001,-0.927701,1,0,0,0,0
2021,625.51,0.096205,-1.950911,0.522243,0.215025,-0.720624,1.000907,-1.113023,-0.55666,-0.94482,1,0,0,0,0
2022,663.5,-1.206261,-1.008534,2.362427,0.305417,-0.833229,1.156357,-1.514441,-0.436644,-0.710729,1,0,0,0,0
2023,658.45,-0.880644,-0.631583,1.15923,0.666988,-0.787353,1.327824,-1.113023,-0.372305,-0.386767,1,0,0,0,0
2024,643.33,-0.39222,-0.882884,0.239138,1.299735,-0.899958,1.548917,-1.514441,-0.327076,-0.064089,1,0,0,0,0
2014,925.18,-0.39222,-0.097569,-0.680954,-0.869686,2.818104,-1.191337,0.492649,-0.857528,-1.200094,0,1,0,0,0
2015,908.76,-0.39222,0.247969,-1.176388,-0.327331,1.779633,-0.703221,0.091231,-0.760636,-1.07449,0,1,0,0,0
2016,813.8,-0.717836,0.49927,-0.822507,-0.327331,1.523143,-0.670844,-0.310187,-0.652533,-0.98034,0,1,0,0,0
2017,778.64,-0.39222,0.62492,-0.114743,-0.869686,1.1749,-0.748124,-0.310187,-0.587811,-0.904592,0,1,0,0,0
2018,770.7,0.910246,0.185144,-0.18552,-0.779293,0.943433,-0.546197,0.091231,-0.540289,-0.775778,0,1,0,0,0
2019,731.12,0.910246,-0.380283,-1.176388,-0.327331,0.384577,-0.38089,0.492649,-0.422885,-0.615081,0,1,0,0,0
2020,691.38,1.235862,-1.071359,-1.034835,-0.598508,0.232351,-0.011466,0.492649,-0.333319,-0.917858,0,1,0,0,0
2021,620.83,-0.555028,-2.4221,0.451467,-0.056153,-0.174279,0.302582,-0.310187,-0.228082,-0.839543,0,1,0,0,0
2022,720.78,-2.020302,-0.851471,2.150099,-0.779293,-0.211814,0.422916,-1.113023,-0.133738,-0.34012,0,1,0,0,0
2023,718.2,-1.369069,-0.160395,1.15923,-0.327331,-0.009542,0.547016,-1.113023,-0.021303,0.082057,0,1,0,0,0
2024,706.52,-1.043453,-0.128982,0.380691,0.486202,-0.128403,0.705888,-1.113023,0.109033,0.515361,0,1,0,0,0
2014,860.09,0.259013,1.315996,-0.397849,0.666988,-0.437025,-0.664478,0.492649,-0.797393,-1.0578,0,0,1,0,0
2015,841.03,0.747438,1.378822,-0.75173,0.938165,-0.718539,-0.165205,-0.310187,-0.688079,-0.952095,0,0,1,0,0
2016,771.92,0.421821,1.284584,-0.468625,1.209343,-0.833229,-0.20826,0.091231,-0.618452,-0.828416,0,0,1,0,0
2017,761.76,1.561479,1.190346,-0.043967,0.75738,-0.895788,-0.27185,-0.310187,-0.592334,-0.746249,0,0,1,0,0
2018,732.74,0.747438,1.284584,-0.114743,0.666988,-1.01882,0.029261,0.091231,-0.519394,-0.543612,0,0,1,0,0
2019,756.1,0.096205,0.62492,-0.964059,1.209343,-1.300333,0.323733,0.091231,-0.450532,-0.504241,0,0,1,0,0
2020,723.15,0.910246,-1.228422,-1.176388,0.75738,-1.473412,0.827524,-0.310187,-0.460979,-0.840827,0,0,1,0,0
2021,619.78,-0.39222,-1.762436,0.451467,1.209343,-1.652746,1.306467,-0.310187,-0.290383,-0.869714,0,0,1,0,0
2022,680.93,-1.043453,-0.22322,2.079322,0.938165,-1.859189,1.550765,-1.113023,-0.130171,-0.622998,0,0,1,0,0
2023,716.9,-0.880644,-0.097569,1.300783,1.480521,-1.923833,1.743383,-1.113023,-0.068634,-0.197825,0,0,1,0,0
2024,720.69,-1.043453,0.467857,0.451467,1.932483,-1.957198,1.960437,-1.514441,0.03673,0.268217,0,0,1,0,0
2014,823.23,-1.531877,1.064696,-0.468625,0.305417,1.785888,-2.232186,1.696903,1.738102,1.361427,0,0,0,1,0
2015,838.07,-1.206261,1.221759,-0.964059,0.576595,1.293761,-1.887061,0.492649,1.840982,1.386676,0,0,0,1,0
2016,716.96,0.259013,1.190346,-0.610178,0.39581,1.043527,-2.037514,0.894067,1.816966,0.894101,0,0,0,1,0
2017,649.54,-0.229412,1.033283,0.026809,0.124632,0.860022,-2.028068,0.894067,1.928764,0.379913,0,0,0,1,0
2018,627.28,1.561479,0.844808,-0.610178,-0.056153,0.643152,-1.775077,1.295485,1.872132,0.316148,0,0,0,1,0
2019,561.4,0.910246,1.127521,-1.53027,0.486202,0.51595,-1.548166,0.894067,1.845951,0.424207,0,0,0,1,0
2020,527.02,0.910246,-0.788646,-1.105612,0.215025,-0.280629,-1.131443,0.894067,1.466474,-0.018726,0,0,0,1,0
2021,516.59,-0.066603,-1.071359,0.451467,0.486202,-0.741477,-0.779611,0.894067,2.190136,-0.177069,0,0,0,1,0
2022,539.05,-0.717836,0.656332,2.220875,0.305417,-0.824888,-0.575562,-0.310187,2.530627,0.153525,0,0,0,1,0
2023,524.26,-0.39222,0.342207,1.230006,0.576595,-0.937493,-0.41621,-0.310187,2.822831,1.191957,0,0,0,1,0
2024,514.0,0.096205,0.781983,0.309914,1.11895,-1.102231,-0.244744,-0.711605,3.101403,1.999293,0,0,0,1,0
2014,636.39,1.724287,0.87622,-0.327072,-2.044789,1.871385,-1.433239,2.499739,-0.633804,0.691036,0,0,0,0,1
2015,713.54,2.212711,0.687745,-0.610178,-1.864004,1.548166,-0.856685,2.098321,-0.518056,0.830121,0,0,0,0,1
2016,755.74,2.049903,0.87622,-0.680954,-1.773612,1.518972,-0.801036,1.696903,-0.423267,0.909721,0,0,0,0,1
2017,720.29,1.561479,1.284584,0.026809,-2.225574,1.02893,-0.840463,1.696903,-0.338287,1.155153,0,0,0,0,1
2018,731.26,1.073054,1.221759,-0.18552,-2.496752,0.853766,-0.579463,1.696903,-0.307073,1.527687,0,0,0,0,1
2019,769.46,1.235862,0.247969,-1.105612,-1.683219,0.40543,-0.309086,2.098321,-0.269871,1.841378,0,0,0,0,1
2020,674.39,1.561479,-1.44831,-0.75173,-1.864004,0.207328,0.183684,1.696903,-0.268597,1.531325,0,0,0,0,1
2021,557.29,0.584629,-1.479723,0.522243,-1.502434,0.053017,0.56187,1.295485,-0.071373,1.429044,0,0,0,0,1
2022,583.66,-0.555028,-0.568758,2.362427,-2.225574,0.057187,0.6974,0.492649,0.099159,1.793661,0,0,0,0,1
2023,579.03,-0.717836,-0.128982,1.300783,-1.502434,0.115575,0.842377,0.492649,0.165346,2.39622,0,0,0,0,1
2024,562.92,-0.555028,-0.003332,0.522243,-0.869686,0.123916,1.041156,0.091231,0.298039,2.9256,0,0,0,0,1
